id,station_id,sort_order,name,dose,session_type,primary_pillar,secondary_pillar,load,where_setting,best_with,courage
RS0463,bear,8,Bear crawl overload,160 m,Overload,Durability,Balanced Athleticism,High,Home or gym,Solo OK,Overload
RS0464,bear,9,Weighted-vest bear crawl,,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0465,bear,10,Bear crawl steady pace vs bursts test,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0466,bear,11,Bear crawl breathing rhythm,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0467,bear,12,Bear crawl from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0468,bear,13,Bear crawl doubles alternating,20 m,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0469,bear,14,Bear crawl time target,120 m,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0470,bear,15,Wrist fatigue management,Bear crawl,Strategy & pacing,Economy,Fatigue Management,Low,Home or gym,Solo OK,
RS0471,bear,16,Bear crawl race-pace repeats,3 × 40 m,Race pace,Durability,Threshold,Moderate,Home or gym,Solo OK,
RS0472,bear,17,Bear crawl on race-type surface,,Race prep,Economy,,Moderate,Home or gym,Solo OK,Race rehearsal
RS0473,bear,18,Bear crawl hip-height efficiency drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0474,bear,19,Bear crawl after a heavy carry,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0475,bear,20,Late-race bear crawl,After 8 labours,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0476,msu,1,Med ball sit-up throws for time,25 reps (DEKA),Race pace,Durability,Threshold,High,Gym,Solo OK,
RS0477,msu,2,Sit-up throw target accuracy drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0478,msu,3,Sit-up throw catch-and-go rhythm,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0479,msu,4,Box overs → sit-up throws,DEKA zones 3–4,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0480,msu,5,Sit-up throws → SkiErg,DEKA zones 4–5,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0481,msu,6,Sit-up throw overload,40 reps,Overload,Durability,Balanced Athleticism,High,Gym,Solo OK,Overload
RS0482,msu,7,Sit-up throws with a heavier ball,,Overload,Balanced Athleticism,Durability,High,Gym,Solo OK,Overload
RS0483,msu,8,Sit-up throw breathing,Exhale on the throw,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0484,msu,9,Hip flexor fatigue management,Sit-up throws,Strategy & pacing,Economy,Fatigue Management,Low,Gym,Solo OK,
RS0485,msu,10,Sit-up throws from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0486,msu,11,Sit-up throw doubles alternating,Sets of 5,Doubles,Threshold,,Moderate,Gym,Partner or group,
RS0487,msu,12,Sit-up throw time target,25 reps,Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0488,msu,13,Sit-up throw unbroken test,25 reps,Test / time trial,Durability,,Moderate,Gym,Coach or partner,Test
RS0489,msu,14,Sit-up throws after 500 m run,,Compromised (brick),Fatigue Management,Durability,Moderate,Gym,Solo OK,
RS0490,msu,15,DEKA MILE / STRONG sit-up variant,Tap ball between feet,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0491,msu,16,Late-race sit-up throws,,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0492,msu,17,Sit-up throw set strategy,15-10,Strategy & pacing,Economy,,Moderate,Gym,Solo OK,
RS0493,msu,18,Sit-up throw height consistency,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0494,msu,19,Sit-up foot position test,Butterfly vs anchored,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0495,msu,20,Sit-up throws after SkiErg,Fatigued trunk,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
